Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P001	-0.0052	-0.4334	1.0397	-0.7305	-0.2986	-0.147	-1.0639	0.3604	-1.1535	-0.3818	0.5285	-1.0744	0.0224	0.9035	1.6851	0.8178
P002	1.0206	-1.3118	0.5484	-1.8981	0.2999	0.3852	-1.3819	0.1433	-0.362	0.3718	0.9564	-0.6557	-0.3458	-0.1047	1.1376	1.285
P003	-0.7526	-2.3642	0.862	-0.8674	1.0908	0.9493	-0.5808	-1.1505	0.243	0.8905	1.0066	-0.8579	0.7417	0.4653	0.4484	-0.0809
P004	0.2421	-1.2455	1.2115	-0.8849	-0.7987	0.3991	-1.2134	-0.5937	-0.349	0.3917	1.7853	-0.2348	0.3447	0.0874	0.2864	0.6211
P005	0.1925	-0.4389	1.1801	-1.4668	-0.0757	0.1854	-1.5794	0.7995	-0.7998	-0.29	0.6104	-1.0282	0.1468	1.318	0.8315	0.4655
P006	-0.1493	-1.2647	0.1939	-0.5971	-0.3045	0.1989	0.0038	-0.1541	0.0867	0.2339	-0.1477	-0.9794	-0.0334	-0.1984	2.0712	1.1133
P007	0.2093	-1.3523	0.8151	-1.4281	0.1629	0.7055	-1.3114	-0.7087	0.2052	0.9419	2.0069	-0.952	0.2124	-0.1237	0.2782	0.4111
P008	0.1258	-0.8281	1.4073	-0.7578	-0.0763	0.5129	-1.817	-0.372	-0.246	0.6329	1.9618	-1.0741	0.4022	0.6923	-0.6826	0.1655
P009	0.7512	-0.8109	0.6916	-0.3588	0.4406	-0.3838	0.346	-0.7976	-1.3245	0.2957	-0.3166	-1.1519	0.8919	0.007	1.7449	0.0294
P010	0.2324	-1.8563	0.7306	-1.3198	-0.2161	0.9216	-0.9967	-0.7251	0.336	0.972	1.6523	-0.6315	0.3442	-0.7046	0.4945	0.8332
P011	0.3303	-1.0331	0.6505	-0.8934	1.707	0.034	-0.4089	-0.5175	-0.9617	0.2464	-0.1379	-1.4659	0.2774	0.3543	1.7136	0.1837
P012	0.2758	-1.7034	0.8494	-1.3782	0.4672	0.6583	-0.8204	-0.8115	-0.2257	0.5108	1.2268	-0.5391	0.3387	0.0451	0.8173	0.3481
P013	-0.1054	-1.6501	0.7755	-1.0474	-0.4723	0.8171	-1.1561	-0.8744	0.4758	0.8925	2.0034	-0.4778	0.2724	-0.1971	0.276	0.5256
P014	0.0108	-2.2005	-0.1054	-0.8021	0.5258	0.4891	0.4312	-0.5225	0.2944	0.2637	-0.71	-0.4941	0.1109	-0.5259	2.2082	1.0928
P015	0.0938	-0.5952	0.933	-2.2657	0.2533	0.5309	-1.4066	1.0242	-0.337	-0.2932	0.6301	-1.0666	0.0601	1.3999	0.9526	0.1372
P016	0.3684	-1.0448	0.3391	-0.5017	0.2056	-0.4017	0.7126	0.2503	-0.9818	-0.196	-1.652	-0.6241	0.4615	0.4437	2.2146	0.4488
P017	-0.3464	-2.3718	-0.3763	-1.3868	0.4097	0.801	0.1953	-0.1933	0.9373	0.4901	-0.2708	-0.6874	0.1487	-0.2288	1.8853	1.0609
P018	0.0928	-1.4364	0.334	-1.5559	-0.7149	0.638	-0.6165	1.86	0.017	-0.1675	-0.6394	-0.351	-0.3415	0.0859	1.0477	1.8079
P019	0.4518	-1.757	0.0641	-1.1594	-0.1548	0.3462	0.0968	-0.0837	0.1266	0.4218	-0.4549	-0.6325	0.2048	-0.7359	2.0204	1.3152
P020	-0.3715	-2.0431	-0.3114	-0.243	0.2869	0.3383	0.9674	-1.3223	0.7534	0.7915	-0.6059	-0.9417	0.6792	-0.3666	1.9251	0.5159
P021	1.2376	-1.2664	0.4464	-1.1699	-0.114	-0.1034	-0.5401	-0.6543	-0.5769	0.5125	0.6808	-0.4431	0.099	-0.4027	1.3163	1.0542
P022	0.3284	-0.982	0.607	-1.9103	-0.1563	0.4398	-0.8771	1.1818	-0.4288	-0.1916	-0.1443	-1.0704	0.1067	0.2356	1.9492	0.9788
P023	0.4148	-1.8918	0.5143	-1.8844	0.4599	0.8213	-1.1682	-0.1153	0.3219	0.7234	1.0239	-0.7811	0.0799	-0.064	0.7386	0.8769
P024	-0.4277	-2.2737	0.0885	-1.2917	0.5731	0.7353	-0.097	-1.0038	0.8004	0.7822	0.3749	-0.9006	0.6607	0.0388	1.6042	0.3909
P025	0.2199	-0.9558	1.0409	-1.1158	-0.665	0.363	-1.2746	-0.2391	-0.1567	0.3817	1.6461	-0.6499	0.195	0.1022	0.4702	0.6985
P026	0.0224	-1.7753	0.6338	-1.5098	0.8615	0.8603	-1.0683	-0.2755	0.0237	0.6136	1.0911	-0.9044	0.0349	-0.1649	0.7173	0.9212
P027	0.3014	-2.0208	0.6265	-1.2825	0.4171	0.9234	-0.9928	-0.8283	0.265	0.9861	1.3797	-0.7189	0.1327	-0.5765	0.5852	0.8768
P028	-0.6375	-0.7534	0.3474	-0.4656	0.3103	0.0928	1.4849	0.6951	-0.7607	-0.006	-1.86	-1.2082	0.7775	0.0584	1.7298	0.2416
P029	0.3922	-1.8276	0.2095	-0.8455	0.3247	0.3185	-0.1752	-0.6863	-0.1191	0.2256	0.0603	-0.5459	-0.0843	-0.6266	2.2393	1.2212
P030	-0.1124	-0.4791	1.1629	-0.8769	0.5009	0.1545	-0.8512	0.1625	-0.741	-0.2432	-0.1179	-1.5865	0.5126	1.6007	1.2394	-0.2918
P031	0.4755	-1.7875	0.6849	-1.5134	0.1491	0.6462	-0.9742	-0.7606	0.0702	0.6837	1.1693	-0.9507	0.3562	-0.4712	1.5131	0.7812
P032	0.0879	-0.6218	1.0455	-1.1656	-0.7529	0.2529	-1.6869	0.0433	-0.4914	0.0718	1.9379	-0.6776	-0.0066	0.5203	0.6856	0.8281
P033	-0.2684	-2.1357	0.0916	-1.2617	-1.2491	0.8948	0.1081	0.7331	0.6981	0.0509	-0.3391	0.155	0.1519	-0.4298	1.4609	1.3784
P034	0.4484	-1.2539	0.2777	-0.7651	0.3628	-0.1372	0.2123	-0.1331	-0.8018	-0.2665	-0.7683	-0.4338	-0.0155	-0.0477	2.5524	0.8381
