	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P001	1.2487	-0.4307	-0.1939	-1.0834	-0.996	-0.7786	-1.9644	1.5259	0.9707	-0.7067	0.4452	0.1096	-0.118	0.9649	-0.5901	1.5949
P002	0.9114	-0.4873	-0.2286	-1.1118	-0.9005	-0.4725	-2.1286	1.4756	0.6356	-1.0359	0.4962	0.3364	-0.2892	1.1407	-0.0404	1.7041
P003	1.3214	-0.5689	-0.1357	-1.0252	-0.7335	-0.7712	-2.1599	1.3301	0.5714	-0.8977	0.3993	0.0408	-0.0261	1.3036	-0.2515	1.5999
P004	1.2088	-0.3386	-0.195	-0.7534	-0.6516	-0.7027	-2.2466	1.6139	0.3201	-0.9972	0.5661	0.3419	-0.2907	1.2322	-0.5517	1.4429
P005	0.9805	-0.5037	-0.1179	-1.1722	-0.7795	-0.5578	-2.1727	1.414	0.6095	-0.9922	0.4192	0.2234	-0.2013	1.183	-0.0673	1.7374
P006	0.9685	-0.4193	-0.1857	-1.0813	-0.8457	-0.571	-2.1498	1.5206	0.5944	-1.0124	0.4317	0.2836	-0.2595	1.0987	-0.1085	1.7408
P007	1.0564	-0.426	-0.2218	-1.0359	-0.9016	-0.5627	-2.1674	1.5055	0.6026	-1.0475	0.4698	0.3153	-0.2117	1.0741	-0.0926	1.6471
P008	0.9551	-0.3936	-0.2795	-1.04	-0.9232	-0.6007	-2.0733	1.5558	0.7371	-1.0216	0.4235	0.2632	-0.2809	1.0357	-0.1029	1.7531
P009	0.8904	-0.3831	-0.277	-1.0475	-0.9229	-0.5013	-2.1362	1.5539	0.659	-1.0859	0.4628	0.3637	-0.2943	1.0306	-0.0088	1.7041
P010	0.9019	-0.2139	-0.4186	-1.0062	-1.0518	-0.5772	-2.0485	1.6656	0.8265	-1.0778	0.424	0.3908	-0.2575	0.8533	-0.0569	1.6565
P012	1.0952	-0.4833	-0.1546	-1.0648	-0.817	-0.5906	-2.1847	1.4461	0.5594	-1.0218	0.4507	0.2419	-0.178	1.1555	-0.1212	1.669
P013	0.9492	-0.2687	-0.3576	-1.0218	-0.9909	-0.5694	-2.1043	1.6112	0.7427	-1.0858	0.4472	0.3846	-0.2292	0.9234	-0.0723	1.6494
P014	0.9665	-0.4673	-0.194	-1.108	-0.8614	-0.5693	-2.0914	1.4877	0.6157	-1.0076	0.4213	0.2277	-0.2595	1.1416	-0.082	1.7863
P016	0.8449	-0.3846	-0.317	-1.0197	-0.9186	-0.5222	-2.0663	1.5776	0.6888	-1.0983	0.4501	0.3412	-0.3536	1.0365	-0.0209	1.7723
P017	0.9942	-0.2344	-0.3968	-0.966	-1.0305	-0.6022	-2.1004	1.645	0.7586	-1.0795	0.4486	0.3995	-0.2184	0.8777	-0.0895	1.6019
P018	0.999	-0.4643	-0.2389	-1.0617	-0.8055	-0.6305	-2.1139	1.4715	0.6492	-1.0155	0.4272	0.2137	-0.2385	1.173	-0.1129	1.7531
P019	1.3976	-0.229	-0.3227	-0.8886	-1.0034	-0.7889	-2.1505	1.583	0.5643	-0.9539	0.4312	0.3091	0.0206	0.9866	-0.3348	1.3787
P020	1.0427	-0.4282	-0.2403	-1.029	-0.8409	-0.6172	-2.1387	1.4979	0.636	-1.0341	0.4623	0.2497	-0.2265	1.1124	-0.1429	1.7009
P021	1.072	-0.3902	-0.187	-0.992	-0.8092	-0.5842	-2.2059	1.5299	0.4566	-1.0875	0.466	0.348	-0.2163	1.1037	-0.1433	1.6425
P022	1.1804	-0.2925	-0.222	-0.985	-0.9247	-0.6604	-2.1806	1.6022	0.5468	-1.0017	0.4247	0.3408	-0.1235	1.0035	-0.2574	1.5515
P023	1.0854	-0.357	-0.2624	-0.9922	-0.918	-0.6234	-2.1419	1.549	0.6	-1.0566	0.4381	0.3043	-0.1953	1.0331	-0.117	1.659
P024	1.0486	-0.3251	-0.2377	-1.1319	-0.9432	-0.653	-2.1396	1.513	0.7395	-0.9432	0.3804	0.2408	-0.1357	1.0217	-0.0979	1.6673
P025	1.0559	-0.4584	-0.1663	-1.059	-0.8394	-0.5883	-2.175	1.4939	0.6156	-0.9888	0.455	0.2533	-0.2225	1.1203	-0.1682	1.6746
P026	0.9492	-0.26	-0.3488	-1.0315	-0.9967	-0.5875	-2.0977	1.6136	0.7418	-1.0655	0.421	0.3646	-0.2273	0.9239	-0.0607	1.6698
P027	1.038	-0.3504	-0.2638	-1.1016	-0.8813	-0.6756	-2.1749	1.4871	0.7849	-0.9115	0.421	0.2245	-0.1697	1.0722	-0.1388	1.6426
P028	1.1281	-0.3028	-0.3621	-0.9069	-0.9154	-0.7403	-2.1527	1.5579	0.7479	-1.0107	0.4524	0.2778	-0.1886	0.9866	-0.1608	1.5934
P029	1.0697	-0.3222	-0.2536	-1.082	-0.9495	-0.6105	-2.1408	1.5309	0.6463	-1.0335	0.4155	0.3111	-0.1346	1.0073	-0.0991	1.6495
P030	0.9685	-0.3828	-0.2631	-1.0388	-0.86	-0.5368	-2.1877	1.5113	0.5746	-1.1345	0.4588	0.3638	-0.2063	1.0601	0.0171	1.6612
P032	1.8201	-0.2817	-0.0701	-0.9357	-1.0028	-0.8489	-2.0691	1.4356	0.2244	-0.7541	0.3384	0.1898	0.3915	1.1524	-0.6769	1.0751
P033	0.7211	-0.4181	-0.2257	-1.1823	-0.9887	-0.3514	-2.0542	1.542	0.6635	-1.1068	0.4311	0.4246	-0.3434	1.0069	0.108	1.7841
P034	1.0114	-0.3131	-0.3142	-1.0309	-0.982	-0.6311	-2.0654	1.5957	0.7132	-1.0091	0.4105	0.289	-0.2256	0.9953	-0.142	1.7058
P036	0.8176	-0.4075	-0.2657	-1.1162	-1.0542	-0.4321	-1.9893	1.5786	0.6573	-1.0778	0.4212	0.3658	-0.3487	0.9814	0.0677	1.8141
P037	1.1189	-0.2861	-0.3464	-0.909	-0.865	-0.7339	-2.1783	1.5684	0.6444	-1.0599	0.4216	0.2968	-0.1483	1.0216	-0.1403	1.5999
P038	1.2238	-0.5437	-0.243	-1.0181	-0.8027	-0.7746	-2.0642	1.3411	0.6977	-0.896	0.4361	0.0313	-0.1307	1.2721	-0.2393	1.7112
P040	0.95	-0.292	-0.2742	-1.0657	-0.9369	-0.5335	-2.1673	1.5771	0.6322	-1.0891	0.4356	0.3998	-0.2091	0.9752	-0.0444	1.6485
P041	0.9567	-0.2906	-0.3316	-1.0356	-0.9972	-0.5515	-2.1143	1.5927	0.7123	-1.096	0.4406	0.3826	-0.2176	0.9283	-0.025	1.654
P042	0.9271	-0.4142	-0.246	-1.0888	-0.8374	-0.539	-2.1852	1.4633	0.6243	-1.0824	0.4597	0.3131	-0.231	1.1064	0.0334	1.702
P043	1.0822	-0.3782	-0.221	-1.0593	-0.8441	-0.6388	-2.1725	1.4776	0.5794	-1.0226	0.4284	0.2576	-0.1565	1.1097	-0.1198	1.6812
P044	1.0105	-0.2853	-0.3293	-0.986	-0.9825	-0.5763	-2.1462	1.6022	0.6847	-1.0849	0.4621	0.3997	-0.2186	0.9289	-0.0811	1.6084
P045	-0.251	-0.9314	0.056	-1.0917	-1.115	0.4997	-1.2391	1.3895	0.2798	-1.1833	0.4034	0.3139	-1.0259	1.0399	0.7073	2.1838
P046	1.3264	-0.3433	-0.1907	-1.0543	-0.9665	-0.705	-2.2449	1.4477	0.7165	-0.9316	0.4384	0.2846	0.0252	0.9626	-0.1698	1.4003
P047	0.9505	-0.2409	-0.3704	-1.0146	-1.0303	-0.5852	-2.0752	1.6384	0.7688	-1.0736	0.4234	0.3799	-0.2325	0.8828	-0.0711	1.6588
P048	1.2611	-0.4061	-0.1434	-0.9688	-0.8774	-0.616	-2.2006	1.5401	0.39	-1.0452	0.4269	0.3322	-0.0944	1.1145	-0.2323	1.5198
P049	1.0333	-0.2697	-0.3368	-0.9479	-0.9533	-0.6271	-2.1572	1.6123	0.6781	-1.0802	0.4291	0.3646	-0.2046	0.9437	-0.0902	1.6123
P051	0.9664	-0.4212	-0.2128	-1.1064	-0.8702	-0.5536	-2.1497	1.4769	0.6116	-1.0443	0.4286	0.2818	-0.2248	1.1076	-0.0109	1.7264
P052	1.1264	-0.4331	-0.2335	-1.0701	-0.9275	-0.7409	-2.0183	1.5003	0.8741	-0.8064	0.4287	0.1118	-0.2119	1.0705	-0.3755	1.7076
P054	1.398	-0.2922	-0.2629	-0.7276	-0.7522	-0.9587	-2.1008	1.5965	0.4803	-0.9013	0.3701	0.1125	-0.1241	1.1369	-0.5315	1.5579
P057	0.944	-0.5436	-0.1537	-1.0885	-0.7656	-0.5308	-2.1438	1.4661	0.5145	-1.0589	0.3992	0.2537	-0.2626	1.2404	-0.019	1.7539
P060	0.9093	-0.3848	-0.2054	-1.2463	-0.871	-0.5916	-2.0953	1.4333	0.6974	-0.9551	0.3701	0.2131	-0.1838	1.1199	-0.0113	1.8072
P062	0.8619	-0.3004	-0.3505	-1.0601	-1.0106	-0.5496	-2.0243	1.6147	0.7853	-1.0621	0.4245	0.3435	-0.3076	0.9286	-0.0395	1.7566
P063	1.0428	-0.304	-0.2592	-1.0669	-0.9256	-0.6069	-2.1662	1.5486	0.6357	-1.0339	0.4204	0.3322	-0.1562	1.0099	-0.1062	1.6398
P064	0.9648	-0.4255	-0.1744	-1.1231	-0.7991	-0.5873	-2.1688	1.4762	0.6265	-0.9651	0.4319	0.2408	-0.2459	1.1595	-0.1394	1.7327
P066	1.541	-0.2314	-0.2879	-0.7002	-0.8028	-0.8601	-2.1618	1.5776	0.3005	-0.9647	0.5168	0.2896	0.0066	1.1385	-0.633	1.2664
P067	0.9576	-0.3197	-0.3413	-1.0154	-0.9815	-0.5798	-2.1038	1.5841	0.7613	-1.0736	0.4445	0.3473	-0.2421	0.9435	-0.0438	1.6703
P069	1.247	-0.6397	-0.1399	-0.9529	-0.7852	-0.6432	-2.1287	1.3617	0.5071	-1.0187	0.474	0.1205	-0.1899	1.2634	-0.1464	1.6714
P070	0.8992	-0.4518	-0.2215	-1.0733	-0.8322	-0.5646	-2.0936	1.5112	0.6571	-1.0335	0.4219	0.249	-0.3162	1.126	-0.0755	1.8053
P072	1.0051	-0.2167	-0.3732	-0.9746	-1.0217	-0.6124	-2.1003	1.6547	0.7247	-1.071	0.4314	0.3986	-0.2135	0.8819	-0.1192	1.6141
P073	0.9937	-0.4641	-0.2154	-1.0575	-0.8523	-0.6008	-2.0847	1.5161	0.6897	-0.9864	0.4465	0.2128	-0.2802	1.1224	-0.1941	1.7597
P074	0.9735	-0.345	-0.2838	-1.0219	-0.9252	-0.5887	-2.0869	1.5894	0.6257	-1.0625	0.4206	0.3126	-0.2564	1.0345	-0.1114	1.7334
P075	0.9498	-0.4002	-0.1853	-1.059	-0.7918	-0.5389	-2.2147	1.5123	0.4472	-1.071	0.4164	0.3348	-0.2373	1.1592	-0.018	1.7018
P076	1.151	-0.2821	-0.3281	-0.9056	-0.9434	-0.6713	-2.1929	1.5808	0.6581	-1.0571	0.4804	0.3693	-0.1719	0.9423	-0.1537	1.5271
P077	1.0465	-0.3964	-0.2183	-1.0664	-0.868	-0.5602	-2.2031	1.4852	0.5558	-1.1024	0.4373	0.3371	-0.1441	1.0662	0.0002	1.634
P078	1.2356	-0.1797	-0.3584	-0.9183	-0.9969	-0.7618	-2.1158	1.6457	0.6301	-0.9731	0.4221	0.3241	-0.078	0.9475	-0.3197	1.4997
P080	0.9378	-0.2207	-0.3912	-1.0125	-1.0298	-0.5909	-2.0774	1.6492	0.7821	-1.0582	0.4287	0.3856	-0.2392	0.8865	-0.0882	1.6472
P081	1.2949	-0.3646	-0.1802	-0.8765	-0.7693	-0.7326	-2.2191	1.5155	0.4075	-1.0016	0.4916	0.2718	-0.1478	1.1458	-0.3634	1.5267
P082	0.8777	-0.5097	-0.1993	-1.136	-0.8402	-0.5159	-2.1095	1.4455	0.6888	-1.0072	0.461	0.2504	-0.3128	1.159	-0.03	1.7839
P086	0.9331	-0.3402	-0.3084	-1.024	-0.9628	-0.5413	-2.1005	1.5865	0.6636	-1.091	0.4464	0.3641	-0.2718	0.9885	-0.0379	1.7041
P087	0.9657	-0.2294	-0.411	-0.9772	-1.0472	-0.6211	-2.0555	1.6653	0.8235	-1.0504	0.4236	0.3613	-0.237	0.8632	-0.1038	1.6392
P088	1.0088	-0.3853	-0.3006	-1.0019	-0.8344	-0.7201	-2.0801	1.4885	0.7114	-0.8123	0.4458	0.1293	-0.3623	1.2364	-0.2838	1.7665
P089	0.8942	-0.265	-0.3508	-1.0456	-0.9898	-0.5458	-2.0918	1.6142	0.7318	-1.0858	0.4348	0.3872	-0.2606	0.9318	-0.0385	1.6889
P090	0.6505	-0.5045	-0.1965	-1.2668	-0.8508	-0.4482	-1.9952	1.4303	0.7372	-0.9556	0.3564	0.2061	-0.406	1.206	0.1127	1.9359
P094	0.9272	-0.2577	-0.3809	-1.0025	-1.0113	-0.5936	-2.0687	1.6388	0.7943	-1.0638	0.424	0.3576	-0.2612	0.9026	-0.073	1.6775
P095	1.0234	-0.5189	-0.1746	-1.0621	-0.7997	-0.5785	-2.1309	1.4474	0.5533	-1.0323	0.4415	0.2181	-0.247	1.2017	-0.0881	1.7511
P096	1.2373	-0.4099	-0.152	-0.9722	-0.8219	-0.6497	-2.2031	1.5228	0.4507	-1.0065	0.4694	0.2887	-0.124	1.1353	-0.3114	1.5457
P097	1.3984	-0.2955	-0.3279	-0.6681	-0.7886	-0.8566	-2.1838	1.5939	0.4801	-1.0464	0.4918	0.2678	-0.1126	1.0685	-0.4315	1.4097
P098	1.0302	-0.3261	-0.2709	-1.0324	-0.9203	-0.5932	-2.1777	1.5586	0.67	-1.039	0.4524	0.3445	-0.1918	0.9992	-0.1199	1.6206
P099	1.1025	-0.3856	-0.1986	-1.0411	-0.839	-0.5917	-2.22	1.4946	0.521	-1.0389	0.4775	0.3344	-0.1606	1.1069	-0.1586	1.5985
P100	1.182	-0.4787	-0.13	-1.0632	-0.8185	-0.637	-2.2125	1.4063	0.5036	-1.0193	0.4029	0.2313	-0.1009	1.1559	-0.0569	1.6355
