	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P001	-2.0026	0.3093	0.9715	0.5502	-0.5503	0.6279	0.3306	-0.0224	2.5755	-1.0893	-0.5744	0.3658	0.608	-0.7322	-0.8765	-0.5095
P002	-2.0177	0.3139	0.939	0.5847	-0.5155	0.5527	0.314	-0.0372	2.5866	-1.0513	-0.6362	0.3849	0.6562	-0.7138	-0.8792	-0.4989
P003	-2.0336	0.272	0.8893	0.5687	-0.5073	0.5731	0.3103	-0.0316	2.6173	-1.0013	-0.6694	0.4002	0.6613	-0.7157	-0.8317	-0.5178
P004	-2.0263	0.3153	0.9064	0.6196	-0.5525	0.6059	0.2775	-0.0318	2.5973	-1.0179	-0.5905	0.3902	0.6123	-0.738	-0.8543	-0.5295
P005	-2.0254	0.3798	0.8252	0.6241	-0.4792	0.5517	0.3235	-0.1112	2.6215	-1.0632	-0.5929	0.2896	0.6902	-0.7287	-0.8694	-0.4529
P006	-1.9984	0.2951	0.9568	0.5629	-0.5359	0.589	0.3461	-0.0395	2.5918	-1.088	-0.568	0.3795	0.6098	-0.7285	-0.8849	-0.5059
P007	-2.0262	0.3744	0.8519	0.6508	-0.4754	0.4683	0.2937	-0.1348	2.5898	-1.0644	-0.6712	0.3881	0.7561	-0.685	-0.8326	-0.5012
P008	-2.0056	0.3414	0.9743	0.5635	-0.5522	0.6048	0.3127	-0.0569	2.5704	-1.0965	-0.5568	0.3704	0.6211	-0.7279	-0.8792	-0.5021
P009	-2.027	0.2691	0.9839	0.5367	-0.592	0.6783	0.2913	0.0108	2.5759	-1.0198	-0.5747	0.3791	0.5864	-0.7274	-0.8636	-0.5241
P010	-2.0015	0.3297	0.9003	0.5971	-0.5388	0.6257	0.3101	-0.0451	2.5958	-1.077	-0.5659	0.3533	0.6258	-0.753	-0.8701	-0.504
P011	-2.0008	0.3395	0.9333	0.5752	-0.5427	0.6112	0.3105	-0.0361	2.5929	-1.0738	-0.574	0.3566	0.6151	-0.7429	-0.8792	-0.5027
P012	-2.0121	0.3128	0.9475	0.5641	-0.5541	0.6392	0.306	-0.0238	2.5792	-1.0648	-0.5837	0.3674	0.6185	-0.7392	-0.8714	-0.5036
P013	-2.0442	0.3308	0.8128	0.6252	-0.4577	0.5988	0.336	-0.0624	2.6119	-1.0422	-0.6437	0.3183	0.6555	-0.7535	-0.8526	-0.4499
P014	-2.029	0.2751	0.8966	0.5888	-0.5393	0.5405	0.2788	-0.0459	2.622	-0.9817	-0.6499	0.4222	0.6771	-0.6917	-0.8349	-0.5443
P015	-2.0003	0.2734	0.9715	0.5032	-0.5729	0.7041	0.3196	0.016	2.5717	-1.0608	-0.6261	0.3726	0.6144	-0.7477	-0.8365	-0.5198
P016	-2.014	0.3336	0.9169	0.5726	-0.5356	0.6429	0.3294	-0.0429	2.5997	-1.0755	-0.5375	0.3134	0.595	-0.7439	-0.8838	-0.4883
P017	-2.0281	0.3319	0.8105	0.6261	-0.47	0.5403	0.3245	-0.0782	2.6325	-1.0313	-0.6351	0.3269	0.692	-0.7284	-0.8675	-0.4625
P018	-1.9978	0.3604	0.9223	0.5993	-0.5423	0.6219	0.3185	-0.0612	2.5848	-1.1034	-0.5353	0.3281	0.6149	-0.7519	-0.8797	-0.497
P019	-2.006	0.3071	0.9332	0.5461	-0.5268	0.6168	0.3433	-0.0222	2.6	-1.0721	-0.5886	0.331	0.6248	-0.733	-0.8866	-0.4847
P020	-2.032	0.2828	0.9323	0.5709	-0.5403	0.612	0.3019	-0.0033	2.592	-1.0166	-0.6289	0.3759	0.6317	-0.7205	-0.8638	-0.5108
P021	-2.0496	0.3711	1.0186	0.58	-0.6541	0.6303	0.2007	-0.0429	2.5493	-0.9862	-0.5541	0.3797	0.6195	-0.7061	-0.8314	-0.5423
P022	-2.008	0.2923	0.9569	0.5525	-0.5624	0.6611	0.3216	-0.0102	2.5853	-1.0686	-0.55	0.3633	0.5828	-0.7423	-0.8723	-0.5197
P023	-2.015	0.3225	0.9603	0.5831	-0.5709	0.6428	0.2934	-0.0207	2.5625	-1.0719	-0.5714	0.3728	0.6155	-0.74	-0.8649	-0.5161
P024	-2.001	0.3352	0.9581	0.5789	-0.5436	0.5852	0.3261	-0.0563	2.576	-1.1032	-0.5639	0.3624	0.6368	-0.7263	-0.8754	-0.5076
P025	-2.0462	0.2647	0.9324	0.5828	-0.5429	0.5776	0.2855	-0.0175	2.5908	-0.9884	-0.6621	0.4164	0.6568	-0.6968	-0.833	-0.5363
P026	-2.0218	0.3036	0.9203	0.5607	-0.5037	0.5906	0.3513	-0.0417	2.6023	-1.073	-0.5825	0.3515	0.6158	-0.7295	-0.8881	-0.4738
P027	-2.0457	0.3304	0.8521	0.6302	-0.5165	0.611	0.2907	-0.0441	2.6052	-1.0146	-0.6037	0.3311	0.6416	-0.7473	-0.8627	-0.4744
P028	-2.0003	0.344	0.972	0.5664	-0.5548	0.6131	0.3155	-0.0338	2.572	-1.0942	-0.5594	0.3553	0.6099	-0.7379	-0.8891	-0.4972
P029	-2.0345	0.3298	0.8468	0.5884	-0.47	0.4989	0.3229	-0.1096	2.6276	-1.0343	-0.6561	0.3568	0.7284	-0.6801	-0.8492	-0.4828
P030	-2.0877	0.3349	0.9096	0.6442	-0.5779	0.5853	0.2059	-0.0647	2.5819	-0.9335	-0.6203	0.3945	0.6525	-0.6915	-0.8197	-0.5291
P031	-2.0202	0.2908	0.9103	0.5768	-0.5563	0.6783	0.3001	-0.0088	2.595	-1.0358	-0.5681	0.3528	0.5965	-0.7485	-0.8719	-0.5078
P032	-2.0201	0.3438	0.8581	0.5903	-0.5052	0.5973	0.3321	-0.0774	2.6183	-1.0689	-0.5612	0.2921	0.6598	-0.7382	-0.8824	-0.456
P033	-2.0239	0.2863	0.9293	0.5362	-0.5533	0.6151	0.3005	-0.0379	2.6132	-1.0141	-0.6074	0.3692	0.6466	-0.7028	-0.8498	-0.5237
P034	-2.0218	0.3485	0.8601	0.6207	-0.5036	0.5998	0.3266	-0.0519	2.6045	-1.0676	-0.5758	0.3059	0.6361	-0.7558	-0.8874	-0.456
