Target ID	Target name	TF list
ENSG00000196839	ADA	ENSG00000185591;
ENSG00000170558	CDH2	ENSG00000169083;ENSG00000102349;ENSG00000120149;ENSG00000099326;ENSG00000124216;ENSG00000019549;ENSG00000185591;ENSG00000172845;ENSG00000122691;ENSG00000233608;ENSG00000233608;
ENSG00000278570	NR2E3	ENSG00000105392;ENSG00000129535;
ENSG00000062038	CDH3	ENSG00000107485;ENSG00000078399;ENSG00000136997;ENSG00000185591;
ENSG00000272398	CD24	ENSG00000091831;
ENSG00000153094	BCL2L11	ENSG00000118260;ENSG00000118689;ENSG00000109320;ENSG00000173039;
ENSG00000138622	HCN4	ENSG00000185591;
ENSG00000260596	DUX4	ENSG00000069011;
ENSG00000179776	CDH5	ENSG00000157554;ENSG00000136826;
ENSG00000100281	HMGXB4	ENSG00000112658;ENSG00000112658;
ENSG00000197822	OCLN	ENSG00000164683;
ENSG00000204520	MICA	ENSG00000100644;ENSG00000185122;ENSG00000109320;ENSG00000173039;ENSG00000185591;ENSG00000168610;
ENSG00000025434	NR1H3	ENSG00000132170;
ENSG00000140937	CDH11	ENSG00000169083;
ENSG00000140945	CDH13	ENSG00000184486;
ENSG00000172575	RASGRP1	ENSG00000101412;
ENSG00000143870	PDIA6	ENSG00000100811;
ENSG00000123240	OPTN	ENSG00000109320;ENSG00000173039;
ENSG00000105835	NAMPT	ENSG00000134852;ENSG00000177606;ENSG00000109320;ENSG00000173039;
ENSG00000105246	EBI3	ENSG00000109320;ENSG00000173039;
ENSG00000079112	CDH17	ENSG00000165556;ENSG00000165556;ENSG00000135100;
ENSG00000130726	TRIM28	ENSG00000256683;
ENSG00000158195	WASF2	ENSG00000137273;
ENSG00000140835	CHST4	ENSG00000107485;ENSG00000185591;ENSG00000073861;
ENSG00000123374	CDK2	ENSG00000143437;ENSG00000175197;ENSG00000205250;ENSG00000111087;ENSG00000125347;ENSG00000187098;ENSG00000136997;ENSG00000141510;
ENSG00000135446	CDK4	ENSG00000091831;ENSG00000125347;ENSG00000136997;ENSG00000136997;ENSG00000109320;ENSG00000113580;ENSG00000173039;ENSG00000182568;ENSG00000110693;ENSG00000125398;ENSG00000125398;ENSG00000185591;ENSG00000168610;ENSG00000141510;
ENSG00000137845	ADAM10	ENSG00000075891;ENSG00000185591;
ENSG00000100867	DHRS2	ENSG00000118513;ENSG00000185697;
ENSG00000105810	CDK6	ENSG00000169083;ENSG00000136997;ENSG00000111704;ENSG00000111704;ENSG00000077150;ENSG00000113580;ENSG00000173039;ENSG00000185591;ENSG00000071564;ENSG00000161298;
ENSG00000143167	GPA33	ENSG00000136826;
ENSG00000102854	MSLN	ENSG00000132005;ENSG00000187079;ENSG00000172466;
ENSG00000164056	SPRY1	ENSG00000120738;ENSG00000179388;
ENSG00000136158	SPRY2	ENSG00000118260;ENSG00000134954;ENSG00000185591;ENSG00000137203;
ENSG00000125257	ABCC4	ENSG00000012504;
ENSG00000124762	CDKN1A	ENSG00000169083;ENSG00000169083;ENSG00000117713;ENSG00000115966;ENSG00000113916;ENSG00000165556;ENSG00000172216;ENSG00000101412;ENSG00000101412;ENSG00000112242;ENSG00000108001;ENSG00000120738;ENSG00000091831;ENSG00000091831;ENSG00000140009;ENSG00000134954;ENSG00000157557;ENSG00000139083;ENSG00000176165;ENSG00000049768;ENSG00000162676;ENSG00000105856;ENSG00000101076;ENSG00000185122;ENSG00000125347;ENSG00000125347;ENSG00000213928;ENSG00000177606;ENSG00000177606;ENSG00000171223;ENSG00000130522;ENSG00000155090;ENSG00000129911;ENSG00000127528;ENSG00000136826;ENSG00000136826;ENSG00000067082;ENSG00000067082;ENSG00000196233;ENSG00000078403;ENSG00000136997;ENSG00000136997;ENSG00000136997;ENSG00000134323;ENSG00000084676;ENSG00000162599;ENSG00000147862;ENSG00000008441;ENSG00000109320;ENSG00000113580;ENSG00000196092;ENSG00000204531;ENSG00000132170;ENSG00000131759;ENSG00000173039;ENSG00000173039;ENSG00000020633;ENSG00000020633;ENSG00000175387;ENSG00000166949;ENSG00000166949;ENSG00000141646;ENSG00000101665;ENSG00000110693;ENSG00000125398;ENSG00000125398;ENSG00000185591;ENSG00000185591;ENSG00000185591;ENSG00000172845;ENSG00000172845;ENSG00000172845;ENSG00000115415;ENSG00000168610;ENSG00000168610;ENSG00000121068;ENSG00000135111;ENSG00000071564;ENSG00000071564;ENSG00000137203;ENSG00000137203;ENSG00000137203;ENSG00000087510;ENSG00000090447;ENSG00000141510;ENSG00000141510;ENSG00000141510;ENSG00000073282;ENSG00000078900;ENSG00000078900;ENSG00000111424;ENSG00000184937;ENSG00000116809;ENSG00000116809;ENSG00000181472;ENSG00000168795;ENSG00000140836;ENSG00000145908;ENSG00000065029;
ENSG00000111276	CDKN1B	ENSG00000257923;ENSG00000091831;ENSG00000150907;ENSG00000260027;ENSG00000213928;ENSG00000136826;ENSG00000134323;ENSG00000001167;ENSG00000120837;ENSG00000066136;ENSG00000123358;ENSG00000117707;ENSG00000185591;ENSG00000185591;ENSG00000168610;ENSG00000141510;ENSG00000111424;ENSG00000145908;
ENSG00000070404	FSTL3	ENSG00000166949;ENSG00000141646;
ENSG00000129757	CDKN1C	ENSG00000101412;ENSG00000253293;ENSG00000136826;ENSG00000117707;
ENSG00000147955	SIGMAR1	ENSG00000128272;
ENSG00000116752	BCAS2	ENSG00000119715;
ENSG00000147889	CDKN2A	ENSG00000101412;ENSG00000134954;ENSG00000157557;ENSG00000111206;ENSG00000171223;ENSG00000182979;ENSG00000102038;ENSG00000185591;ENSG00000185591;ENSG00000172845;ENSG00000121068;ENSG00000135111;ENSG00000089225;ENSG00000178951;ENSG00000163848;
ENSG00000147883	CDKN2B	ENSG00000113916;ENSG00000118689;ENSG00000102554;ENSG00000141646;ENSG00000101665;ENSG00000185591;ENSG00000172845;ENSG00000126561;ENSG00000116809;
ENSG00000133318	RTN3	ENSG00000118217;ENSG00000175197;
ENSG00000096006	CRISP3	ENSG00000169083;ENSG00000157554;
ENSG00000100526	CDKN3	ENSG00000065978;
ENSG00000174130	TLR6	ENSG00000100644;
ENSG00000006606	CCL26	ENSG00000166888;ENSG00000166888;
ENSG00000132274	TRIM22	ENSG00000125347;ENSG00000141510;
ENSG00000129596	CDO1	ENSG00000118513;
ENSG00000127528	KLF2	ENSG00000150907;ENSG00000111704;ENSG00000141510;
ENSG00000164442	CITED2	ENSG00000126767;ENSG00000136931;
ENSG00000123416	TUBA1B	ENSG00000186951;ENSG00000069667;
ENSG00000258947	TUBB3	ENSG00000100644;ENSG00000084093;ENSG00000084093;ENSG00000176887;ENSG00000181449;
ENSG00000106100	NOD1	ENSG00000144852;
ENSG00000156575	PRG3	ENSG00000141510;
ENSG00000104419	NDRG1	ENSG00000169083;ENSG00000134954;ENSG00000187140;ENSG00000136997;ENSG00000136997;ENSG00000134323;ENSG00000134323;ENSG00000134323;
ENSG00000101335	MYL9	ENSG00000159216;ENSG00000112658;
ENSG00000131788	PIAS3	ENSG00000168610;ENSG00000141510;
ENSG00000080986	NDC80	ENSG00000128272;ENSG00000118260;
ENSG00000101443	WFDC2	ENSG00000147862;
ENSG00000142089	IFITM3	ENSG00000136826;
ENSG00000165556	CDX2	ENSG00000107485;ENSG00000136826;ENSG00000111704;ENSG00000143190;ENSG00000204531;
ENSG00000143575	HAX1	ENSG00000109320;
ENSG00000136235	GPNMB	ENSG00000187098;ENSG00000141510;
ENSG00000134363	FST	ENSG00000074047;ENSG00000166949;ENSG00000196628;
