	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P001	-0.295	0.3438	-0.7983	-0.755	1.5012	0.2888	1.5106	-0.8891	-0.9754	0.8072	-1.7132	1.3587	-0.8989	-0.729	0.4937	0.8121
P002	-0.1885	1.0786	-1.1113	-0.4568	1.1767	0.3285	1.3294	-0.9617	-0.9374	0.3218	-1.5328	1.7216	-1.1611	-0.8359	0.7	0.5862
P003	-0.2066	-0.0916	-0.809	-0.5507	1.1113	0.9233	1.248	-0.1031	-1.0061	1.3297	-1.3763	1.0456	-0.7789	-1.1399	-0.1452	0.5929
P004	-0.2159	-1.3761	0.6008	-1.2129	0.9815	0.8254	0.9331	-1.2255	-0.1774	0.1143	-0.3842	0.1545	-0.051	-0.7766	1.3116	0.5306
P005	-0.3246	1.0497	-1.0255	-0.4494	1.2842	0.2411	1.3836	-0.9293	-1.1208	0.5028	-1.5882	1.6018	-1.0579	-0.7114	0.4744	0.7292
P006	-0.506	0.4172	-0.1107	0.9039	-0.2219	0.9984	-0.8378	0.9641	-0.6633	0.8681	0.4555	0.1873	-0.8395	-0.943	-0.7322	0.0449
P007	-0.2372	1.5385	-1.2632	-0.1211	0.8507	0.2917	1.1301	-0.8418	-1.0791	0.4577	-1.568	1.6339	-0.9947	-0.8137	0.426	0.6385
P008	-0.3466	0.8989	-0.7781	-0.44	1.3207	0.2339	1.1679	-0.9671	-0.9363	0.2938	-1.4854	1.2755	-0.819	-0.8168	0.6758	0.7752
P009	-0.8292	-1.0387	1.2025	1.0313	-0.4776	0.6364	-1.4954	0.6407	-0.0009	0.1926	1.9147	-1.5643	0.4091	0.3486	-0.8929	-0.1129
P010	-0.9669	-0.3373	0.2497	0.967	0.5827	0.3995	-1.1446	0.5856	-0.9218	1.0447	0.4528	-0.4371	-0.2568	-0.3622	-0.3524	0.4869
P011	-0.2166	1.1623	-1.1223	-0.3737	1.1652	0.2526	1.2085	-0.9159	-1.0212	0.4938	-1.5644	1.7516	-1.1156	-0.8436	0.5099	0.6854
P012	-0.4847	-0.6241	-0.0306	-0.6253	1.7089	0.5429	0.7998	-0.5055	-0.8946	1.1733	-0.8914	0.7877	-0.8908	-1.1313	0.179	0.9363
P013	-0.8752	-1.1101	0.562	0.3422	0.5813	0.4366	-0.7701	0.2617	-0.6556	1.8315	-0.03	-1.0578	0.7186	-0.2566	-0.9227	0.9374
P014	-0.8072	-0.5688	0.5747	0.245	0.9596	0.4858	-0.5313	-0.0902	-0.8932	1.2221	-0.0683	-0.501	0.0435	-0.4876	-0.4574	0.8788
P015	-1.0159	-1.6437	1.2	0.3288	0.4043	0.4835	-0.8601	0.3216	-0.2535	0.798	1.3108	-1.8518	0.7951	0.2642	-0.7441	0.4497
P016	-0.1968	0.6934	-0.972	-0.571	1.3927	0.3352	1.3749	-0.8903	-0.9714	0.6142	-1.6571	1.4704	-0.942	-0.8654	0.4606	0.7823
P017	-0.2704	0.784	-0.9424	-0.5807	1.3605	0.1359	1.3001	-1.0282	-0.8358	0.4648	-1.6956	1.3848	-0.7926	-0.8135	0.7723	0.8146
P018	-0.1976	1.514	-1.3403	0.0369	0.7673	0.1955	0.989	-0.7017	-1.0444	0.7607	-1.6284	1.5565	-0.9218	-0.8955	0.2882	0.6665
P019	-0.2871	1.1402	-1.1718	-0.3752	1.1928	0.1882	1.3261	-0.937	-1.0602	0.5112	-1.6504	1.6266	-0.9677	-0.7464	0.5527	0.7157
P020	-0.2328	0.9033	-0.8871	-0.5291	1.3547	0.3092	1.3939	-1.0005	-0.9593	0.3077	-1.5362	1.5498	-1.16	-0.8019	0.6146	0.7329
P021	-0.4121	1.0687	-1.1963	-0.1952	1.3202	0.0338	0.9906	-0.7356	-1.0656	0.8689	-1.6721	1.3632	-0.6543	-0.8773	0.3302	0.8864
P022	-0.2807	0.9914	-1.0377	-0.4451	1.298	0.2012	1.3025	-0.9813	-1.0655	0.5102	-1.5871	1.7158	-1.069	-0.7824	0.5586	0.7309
P023	-0.4865	1.1531	0.0428	0.2023	-1.2958	1.5024	1.1106	0.4739	-0.8648	-0.7485	0.3571	-0.1246	-0.3604	-0.0392	-0.1846	-0.7483
P024	-0.7305	-2.0682	1.3829	-0.2888	0.1507	1.0282	-0.4697	-0.0762	0.2045	0.115	1.6996	-1.3684	0.6089	-0.0475	-0.3483	0.202
P025	-0.2966	1.646	-1.48	0.4134	-0.0082	0.3805	0.4747	0.1583	-0.885	1.0756	-1.4327	0.9393	-0.3472	-0.8942	-0.0111	0.2834
P026	-0.2233	0.9759	-1.0048	-0.4849	1.3069	0.3104	1.3971	-0.9476	-1.0318	0.4416	-1.5845	1.6197	-1.152	-0.7858	0.5034	0.719
P027	-1.0269	-1.1626	1.2871	0.6639	0.4264	0.4285	-1.2103	0.3215	-0.277	0.5281	1.4946	-1.7589	0.5639	0.0715	-0.7431	0.3748
