	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
120111	-0.7482	-0.0058	0.6092	-0.8587	1.5527	0.0551	0.6013	-1.5338	0.9605	0.4707	-1.8188	0.5247	1.2713	0.5776	-0.1794	-1.516
120163	-1.2723	-0.2274	0.5669	-0.6993	1.5847	0.1343	0.8623	-1.5841	1.3693	0.4587	-1.5651	0.3468	0.9726	0.6649	-0.438	-1.2092
120165	-1.1508	-0.1404	0.6111	-0.8432	1.6102	0.1155	0.7547	-1.5905	1.23	0.2333	-1.4971	0.4677	1.2045	0.6372	-0.2944	-1.3825
120285	-1.0564	-0.1274	0.5597	-0.9753	1.5472	-0.0827	0.6154	-1.2372	1.1595	0.4114	-1.8723	0.4785	1.4494	0.5837	-0.3743	-1.1059
130020	-1.3219	-0.1642	0.8538	-0.7416	1.6584	-0.035	0.9116	-1.4528	1.0048	0.4401	-1.6965	0.3516	1.0784	0.5788	-0.3921	-1.1063
130023	-1.2775	-0.2294	0.6904	-0.9397	1.5008	-0.0163	0.8504	-1.5555	1.2061	0.3373	-1.48	0.4384	1.1917	0.778	-0.3845	-1.1428
130157	-1.0587	0.0669	0.593	-1.0047	1.4727	-0.1481	0.5637	-1.7331	0.7318	0.6632	-1.595	0.5279	1.4825	0.3538	0.4309	-1.3936
130199	-1.2919	-0.1928	0.6157	-0.8809	1.4579	0.0588	0.8983	-1.6122	1.3731	0.2971	-1.4019	0.4798	1.0549	0.808	-0.4261	-1.2743
130214	-0.9069	0.2493	0.6663	-1.0104	1.4432	-0.1074	0.6108	-1.5004	0.76	0.5725	-1.7991	0.542	1.4081	0.4654	0.0731	-1.511
130221	-1.0518	-0.1407	0.6294	-0.9186	1.4975	0.0217	0.7007	-1.4728	1.1416	0.4704	-1.7655	0.6017	1.21	0.6504	-0.3611	-1.2489
130275	-1.1217	-0.124	0.5942	-0.7166	1.6659	0.1607	0.802	-1.6144	1.1003	0.4065	-1.5604	0.4956	1.0719	0.5527	-0.3395	-1.4104
130338	-0.9516	0.2438	0.7649	-0.8735	1.5683	-0.1107	0.6585	-1.4301	0.6382	0.6098	-1.9478	0.5418	1.296	0.3781	0.0853	-1.5166
130354	-1.5033	-0.1929	0.6793	-0.8363	1.4828	0.1535	0.9054	-1.6657	1.3745	0.279	-1.2661	0.4004	0.9511	0.8089	-0.4148	-1.1931
130397	-1.5613	-0.2741	0.6943	-0.9059	1.4979	0.1242	0.8545	-1.4294	1.4362	0.1641	-1.3812	0.4654	1.057	0.7858	-0.4726	-1.0873
140098	-1.3536	-0.1065	0.7637	-0.7287	1.4658	0.1885	0.9754	-1.7174	1.2681	0.4069	-1.419	0.3938	0.7924	0.7911	-0.4577	-1.3058
140188	-1.0731	-0.0176	0.831	-0.9593	1.4582	-0.098	0.7779	-1.1554	1.016	0.4628	-2.0036	0.5036	1.2124	0.6962	-0.5322	-1.1513
140332	-1.6758	-0.3976	0.8527	-0.8552	1.4686	0.0088	0.9195	-1.2047	1.4556	0.1236	-1.5174	0.3616	0.9709	0.9246	-0.7482	-0.7089
140343	-1.1641	-0.0883	0.6261	-0.7541	1.4875	0.2287	0.7904	-1.7142	1.2296	0.4267	-1.4787	0.5191	0.9635	0.6873	-0.3841	-1.4175
140627	-1.176	0.0796	0.8418	-0.9437	1.3816	0.001	0.7277	-1.7403	0.9372	0.3718	-1.4412	0.3987	1.2855	0.7934	-0.2005	-1.3568
140630	-0.829	0.0121	0.5145	-0.9135	1.3679	0.049	0.5973	-1.7794	1.1719	0.4144	-1.63	0.5447	1.3088	0.6748	-0.1083	-1.436
140646	-1.6935	-0.2001	0.9437	-0.7781	1.3881	-0.0496	0.9663	-1.8572	1.071	0.5093	-1.2442	0.1658	1.0255	0.8869	-0.3345	-0.8351
140867	-1.2127	-0.0021	0.635	-0.7993	1.4178	-0.0124	0.967	-1.887	1.2423	0.3625	-1.2973	0.3636	0.9708	0.8966	-0.3564	-1.3282
141029	-1.1354	0.0485	0.8011	-1.1052	1.2628	-0.074	0.3966	-1.4268	0.7663	0.6085	-1.756	0.6865	1.5875	0.5283	0.2169	-1.4527
141102	-1.1813	-0.1665	0.5439	-0.7394	1.5769	0.193	0.7221	-1.6676	1.2023	0.4936	-1.5143	0.5557	1.0589	0.5581	-0.3088	-1.366
141103	-1.2644	-0.2229	0.5884	-0.8437	1.5933	0.0852	0.7528	-1.4825	1.2736	0.3514	-1.5868	0.5102	1.1984	0.5741	-0.3901	-1.1696
141107	-1.3674	-0.2364	0.6325	-0.8092	1.4786	0.0747	0.8672	-1.7326	1.3581	0.4083	-1.3653	0.3479	1.0306	0.796	-0.3649	-1.1542
141139	-0.8388	0.1444	0.5076	-0.9041	1.5503	-0.081	0.5276	-1.4439	0.9273	0.4589	-1.7897	0.5752	1.4647	0.451	-0.1063	-1.4788
141171	-1.1249	0.2404	0.6529	-0.9122	1.3077	-0.0245	0.6716	-2.0316	0.7353	0.6318	-1.2295	0.4731	1.2292	0.7113	0.1135	-1.4933
141181	-1.2097	0.1686	0.7047	-0.6935	1.766	-0.0771	0.5551	-1.4987	0.6979	0.6699	-1.6692	0.341	1.3002	0.2403	0.0857	-1.42
141268	-0.9388	0.3132	0.4864	-0.6326	1.566	0.0218	0.8304	-2.1072	0.9612	0.4649	-1.3664	0.3093	1.0242	0.5764	0.0786	-1.6346
