	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
120111	-0.8407	-1.7351	-0.1128	-0.9638	0.8064	-1.8363	-0.5131	0.8069	1.6554	-0.1661	1.5458	0.2713	0.8637	-0.487	0.5138	0.1756
120163	-0.7318	-1.8257	0.0222	-1.0068	0.8824	-1.8163	-0.5617	0.8505	1.6119	-0.1692	1.4583	0.199	0.7699	-0.5389	0.6105	0.2298
120165	-0.757	-1.7781	-0.0547	-1.0076	0.7625	-1.8487	-0.5266	0.7471	1.731	-0.1809	1.3572	0.31	1.0193	-0.4785	0.4419	0.2481
120285	-0.8453	-1.7107	-0.0588	-0.9853	0.8259	-1.8413	-0.5463	0.8304	1.6066	-0.1324	1.6383	0.256	0.7302	-0.4796	0.5682	0.1275
130020	-0.7902	-1.759	0.0072	-1.0438	0.8416	-1.8681	-0.5508	0.8127	1.565	-0.0888	1.5059	0.2059	0.8314	-0.5003	0.6208	0.194
130023	-0.8885	-1.6775	-0.1328	-0.9441	0.818	-1.825	-0.5215	0.7927	1.6185	-0.1735	1.6485	0.2793	0.8386	-0.4913	0.5632	0.0795
130157	-0.9017	-1.7046	-0.1456	-0.9168	0.8406	-1.8122	-0.5043	0.8122	1.665	-0.1705	1.6288	0.2863	0.7865	-0.4805	0.4866	0.114
130214	-0.8393	-1.7448	-0.0778	-0.897	0.8918	-1.7763	-0.5506	0.8898	1.6743	-0.2506	1.6222	0.2564	0.6503	-0.5112	0.506	0.1417
130221	-0.8609	-1.6797	-0.129	-0.9793	0.7706	-1.8547	-0.5243	0.7974	1.6632	-0.161	1.5707	0.3058	0.8892	-0.4717	0.4739	0.1741
130275	-0.828	-1.6604	-0.083	-1.019	0.7679	-1.8737	-0.5582	0.8574	1.6374	-0.1632	1.5946	0.2953	0.7818	-0.4779	0.5018	0.2108
130338	-0.8605	-1.7323	-0.177	-0.9197	0.8079	-1.8217	-0.4881	0.783	1.6767	-0.1519	1.5612	0.2709	0.8804	-0.5108	0.5045	0.1615
130354	-0.8444	-1.715	-0.1215	-0.9653	0.7996	-1.8405	-0.5193	0.8109	1.6469	-0.1663	1.5648	0.2731	0.8628	-0.4938	0.5153	0.1768
130397	-0.869	-1.691	-0.1004	-1.0619	0.7511	-1.9047	-0.4793	0.7478	1.621	-0.0728	1.426	0.2748	1.0532	-0.4406	0.4945	0.2343
140098	-0.8735	-1.6898	-0.1063	-0.985	0.8386	-1.8489	-0.5204	0.8708	1.623	-0.1583	1.5757	0.2516	0.7615	-0.4987	0.5422	0.2007
140188	-0.8248	-1.7314	-0.0934	-1.0137	0.7751	-1.86	-0.5073	0.7915	1.665	-0.1565	1.4706	0.2973	0.9416	-0.4704	0.4736	0.2266
140332	-0.8891	-1.7045	-0.0857	-0.9787	0.8473	-1.8611	-0.5054	0.8285	1.5481	-0.0761	1.6316	0.1951	0.7668	-0.4958	0.6271	0.1345
140343	-0.92	-1.6816	-0.1531	-0.9256	0.828	-1.829	-0.5071	0.8089	1.6107	-0.1276	1.6709	0.2507	0.7971	-0.4757	0.5412	0.096
