	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
120111	0.4153	0.6106	-0.2404	0.9528	0.5508	-1.097	-0.3987	-0.3624	-0.6238	-1.604	0.7645	1.3556	2.103	-0.1685	-1.308	-0.9036
120163	0.4856	0.8766	-0.1683	0.6113	0.4666	-1.1117	-0.3994	-0.9257	-0.2377	-1.3984	0.9268	1.406	2.0921	-0.5189	-1.2634	-0.7959
120165	0.1113	1.5258	0.8469	1.5394	-1.2034	-0.644	0.5216	-1.1215	0.2284	-1.138	1.3594	0.6574	0.2049	-1.6506	-0.5732	-0.6321
120285	0.4541	0.6524	-0.2879	0.8729	0.5134	-1.04	-0.5675	-0.4205	-0.4252	-1.608	0.903	1.4472	2.0478	-0.2317	-1.3817	-0.8795
130020	0.1558	1.4769	0.6718	1.5741	-1.2046	-0.5987	0.4572	-0.8263	-0.0164	-1.3438	1.5777	1.0309	-0.3703	-1.4615	-0.2951	-0.7862
130023	0.367	0.5551	-0.137	0.8758	0.5553	-1.0595	-0.3896	-0.4151	-0.5465	-1.7394	0.7617	1.3409	2.1637	-0.2066	-1.2721	-0.8114
130157	0.4388	0.6265	-0.2013	0.6409	0.5762	-1.0937	-0.6941	-0.6145	-0.1497	-1.5311	0.9987	1.4909	2.0577	-0.2557	-1.3704	-0.8716
130199	0.252	1.6137	0.5882	1.7333	-1.1513	-0.6932	0.7124	-1.0985	0.0513	-1.1982	1.1775	0.5498	0.3314	-1.5025	-0.7822	-0.5528
130214	0.3172	1.3458	0.4109	1.5895	-0.8835	-0.8459	0.2129	-1.0223	-0.0143	-1.1674	1.0489	0.8948	1.1519	-1.4802	-1.1317	-0.3878
130221	0.3865	0.4764	-0.1217	0.7709	0.6103	-1.1278	-0.6277	-0.4182	-0.4508	-1.6583	0.9252	1.4897	2.0882	-0.1763	-1.2137	-0.9063
130275	0.0215	0.8319	0.7554	1.0611	-0.7438	-0.6903	-0.4016	-0.6891	0.1705	-1.4867	1.9636	1.2556	0.8349	-1.6071	-0.6304	-0.5955
130338	0.1776	1.0994	0.5506	1.6712	-0.9964	-0.7646	0.1131	-0.7447	0.0056	-1.2585	1.4704	0.9538	0.7068	-1.5029	-0.7701	-0.6696
130354	0.2397	0.5472	-0.1045	0.6259	0.6428	-1.107	-0.5684	-0.3334	-0.4765	-1.635	0.8985	1.4481	2.1318	-0.1073	-1.1548	-0.9987
130397	0.3701	0.5587	-0.0315	0.5202	0.5993	-1.0294	-0.6597	-0.6152	-0.3053	-1.7514	1.1151	1.3618	2.1992	-0.3631	-1.0864	-0.8381
140098	0.2905	1.1693	0.5121	1.6055	-0.9751	-0.7729	0.0957	-0.7388	-0.1467	-1.2509	1.6121	1.0712	0.5146	-1.5267	-0.6526	-0.7614
140188	0.1518	1.1367	0.6203	1.6095	-1.1318	-0.5826	0.2345	-0.9775	0.2033	-1.3643	1.5895	0.8317	0.5189	-1.5878	-0.7169	-0.498
140332	0.2595	0.5238	0.0148	0.8083	0.474	-1.1123	-0.5317	-0.467	-0.3406	-1.6209	0.8847	1.4046	2.1484	-0.3092	-1.2629	-0.8291
140343	0.4331	0.4346	-0.3758	1.3195	0.6081	-1.1245	-0.2055	-0.3897	-0.757	-1.6544	0.3673	1.2645	2.0863	0.1089	-1.2636	-0.8151
140627	0.2356	1.3111	0.5697	1.7927	-1.1689	-0.5979	0.4036	-0.7819	0.0164	-1.3431	1.388	0.8637	0.2803	-1.5213	-0.7941	-0.6161
140630	0.1512	1.6943	0.6256	1.7125	-1.204	-0.5928	0.8084	-0.9872	-0.0487	-1.2565	1.2438	0.6351	-0.049	-1.4761	-0.4585	-0.7648
140646	0.1852	1.2639	0.6417	1.6761	-1.1483	-0.6189	0.2185	-0.7082	0.008	-1.3098	1.6285	0.9697	0.1237	-1.5305	-0.5944	-0.762
140867	0.0586	1.4994	0.8663	1.5351	-1.2358	-0.5904	0.5374	-1.1655	0.2289	-1.2119	1.4517	0.5997	0.1255	-1.599	-0.4221	-0.6464
141029	0.1044	1.3536	0.7538	1.4226	-1.1137	-0.6783	0.2056	-0.9442	0.178	-1.1757	1.6474	0.8809	0.2832	-1.6198	-0.4868	-0.7698
141102	0.309	0.7972	0.0595	1.2757	-0.1222	-1.0845	-0.4295	-0.5514	-0.2201	-1.3196	1.078	1.4052	1.7261	-0.8258	-1.3622	-0.6849
141103	0.1354	1.4173	0.7428	1.7455	-1.2322	-0.5941	0.5456	-0.8662	0.0251	-1.3086	1.3864	0.7791	0.0371	-1.5157	-0.5467	-0.716
141107	0.1822	0.9717	0.4661	1.3882	-0.6103	-0.8713	-0.0336	-1.0066	-0.2169	-1.301	1.4463	1.0148	1.3518	-1.5144	-0.6855	-0.5386
141139	0.2742	1.4716	0.5555	1.8163	-1.2104	-0.6911	0.407	-0.7881	0.0811	-1.1437	1.2053	0.9643	0.1652	-1.4582	-0.9608	-0.6482
141171	0.1676	0.6834	0.1975	0.7351	0.1466	-0.9746	-0.6529	-0.3442	-0.263	-1.6183	1.3995	1.5759	1.7743	-0.8068	-1.1739	-0.7897
141181	0.434	0.4963	-0.3001	0.7632	0.7985	-1.1431	-0.3585	-0.4375	-0.4877	-1.6471	0.4369	1.3336	2.201	0.2347	-1.3961	-0.8901
141268	0.3433	0.3894	-0.1192	0.268	0.9922	-1.1379	-0.5628	-0.4884	-0.2843	-1.8159	0.6676	1.3483	2.2573	0.2474	-1.1041	-0.9653
150025	0.1626	1.0323	0.4584	1.1526	-0.5622	-0.9071	-0.1881	-0.7109	-0.1839	-1.268	1.5921	1.2695	1.1409	-1.4071	-0.8159	-0.7124
150143	0.2785	1.4087	0.5261	1.7867	-1.1211	-0.6684	0.4938	-0.945	0.0464	-1.2215	1.2754	0.7648	0.3878	-1.5501	-0.8382	-0.5885
150208	0.1448	1.5675	0.7428	1.7378	-1.2536	-0.6016	0.6828	-0.9721	0.062	-1.2386	1.267	0.6588	0.0343	-1.5225	-0.6193	-0.6573
